ticker,Date,average_daily_return
AAPL,2020-07-02,0.0
AAPL,2020-07-06,0.02675
AAPL,2020-07-07,-0.0031
AAPL,2020-07-08,0.02329
AAPL,2020-07-09,0.0043
AAPL,2020-07-10,0.00175
AAPL,2020-07-13,-0.00461
AAPL,2020-07-14,0.01655
AAPL,2020-07-15,0.00688
AAPL,2020-07-16,-0.0123
AAPL,2020-07-17,-0.00202
AAPL,2020-07-20,0.02107
AAPL,2020-07-21,-0.0138
AAPL,2020-07-22,0.00281
AAPL,2020-07-23,-0.04552
AAPL,2020-07-24,-0.00248
AAPL,2020-07-27,0.0237
AAPL,2020-07-28,-0.01643
AAPL,2020-07-29,0.01917
AAPL,2020-07-30,0.0121
AAPL,2020-07-31,0.10469
AAPL,2020-08-03,0.0252
AAPL,2020-08-04,0.00668
AAPL,2020-08-05,0.00362
AAPL,2020-08-06,0.03489
AAPL,2020-08-07,-0.02449
AAPL,2020-08-10,0.01453
AAPL,2020-08-11,-0.02974
AAPL,2020-08-12,0.03323
AAPL,2020-08-13,0.0177
AAPL,2020-08-14,-0.00089
AAPL,2020-08-17,-0.00261
AAPL,2020-08-18,0.00833
AAPL,2020-08-19,0.00125
AAPL,2020-08-20,0.02219
AAPL,2020-08-21,0.05153
AAPL,2020-08-24,0.01196
AAPL,2020-08-25,-0.0082
AAPL,2020-08-26,0.0136
AAPL,2020-08-27,-0.01195
AAPL,2020-08-28,-0.00162
AAPL,2020-08-31,-0.74152
AAPL,2020-09-01,0.03983
AAPL,2020-09-02,-0.02072
AAPL,2020-09-03,-0.08006
AAPL,2020-09-04,0.00066
AAPL,2020-09-08,-0.06729
AAPL,2020-09-09,0.03989
AAPL,2020-09-10,-0.03265
AAPL,2020-09-11,-0.01313
AAPL,2020-09-14,0.02996
AAPL,2020-09-15,0.0016
AAPL,2020-09-16,-0.02951
AAPL,2020-09-17,-0.01596
AAPL,2020-09-18,-0.03172
AAPL,2020-09-21,0.03033
AAPL,2020-09-22,0.01572
AAPL,2020-09-23,-0.04195
AAPL,2020-09-24,0.01027
AAPL,2020-09-25,0.03752
AAPL,2020-09-28,0.02387
AAPL,2020-09-29,-0.00757
AAPL,2020-09-30,0.01508
AAPL,2020-10-01,0.00846
AAPL,2020-10-02,-0.03228
AAPL,2020-10-05,0.03079
AAPL,2020-10-06,-0.02867
AAPL,2020-10-07,0.01697
AAPL,2020-10-08,-0.00096
AAPL,2020-10-09,0.0174
