Date,average_return
2020-07-02,"{'AAPL': 0.0, 'BLK': 0.01369, 'GOOG': 0.01854, 'MSFT': 0.00762, 'TSLA': 0.07952}"
2020-07-06,"{'AAPL': 0.02675, 'BLK': 0.01048, 'GOOG': 0.02116, 'MSFT': 0.02153, 'TSLA': 0.13479}"
2020-07-07,"{'AAPL': -0.0031, 'BLK': -0.01492, 'GOOG': -0.00703, 'MSFT': -0.01163, 'TSLA': 0.01333}"
2020-07-08,"{'AAPL': 0.02329, 'BLK': 0.01526, 'GOOG': 0.00729, 'MSFT': 0.02199, 'TSLA': -0.01725}"
2020-07-09,"{'AAPL': 0.0043, 'BLK': -0.01465, 'GOOG': 0.01002, 'MSFT': 0.007, 'TSLA': 0.02079}"
2020-07-10,"{'AAPL': 0.00175, 'BLK': 0.00844, 'GOOG': 0.02035, 'MSFT': -0.00303, 'TSLA': 0.10785}"
2020-07-13,"{'AAPL': -0.00461, 'BLK': -0.00274, 'GOOG': -0.01972, 'MSFT': -0.03089, 'TSLA': -0.03081}"
2020-07-14,"{'AAPL': 0.01655, 'BLK': 0.01587, 'GOOG': 0.00611, 'MSFT': 0.00618, 'TSLA': 0.01319}"
2020-07-15,"{'AAPL': 0.00688, 'BLK': 0.01293, 'GOOG': -0.00456, 'MSFT': -0.00149, 'TSLA': 0.01926}"
2020-07-16,"{'AAPL': -0.0123, 'BLK': -0.00287, 'GOOG': 0.00288, 'MSFT': -0.0198, 'TSLA': -0.02935}"
2020-07-17,"{'AAPL': -0.00202, 'BLK': 0.03662, 'GOOG': -0.00161, 'MSFT': -0.0051, 'TSLA': 0.00013}"
2020-07-20,"{'AAPL': 0.02107, 'BLK': -0.01382, 'GOOG': 0.0331, 'MSFT': 0.04298, 'TSLA': 0.09472}"
2020-07-21,"{'AAPL': -0.0138, 'BLK': 0.00069, 'GOOG': -0.00466, 'MSFT': -0.01347, 'TSLA': -0.04543}"
2020-07-22,"{'AAPL': 0.00281, 'BLK': 0.00438, 'GOOG': 0.00646, 'MSFT': 0.01437, 'TSLA': 0.01528}"
2020-07-23,"{'AAPL': -0.04552, 'BLK': -0.00754, 'GOOG': -0.03367, 'MSFT': -0.04349, 'TSLA': -0.04978}"
2020-07-24,"{'AAPL': -0.00248, 'BLK': -0.01302, 'GOOG': -0.00251, 'MSFT': -0.00612, 'TSLA': -0.06349}"
2020-07-27,"{'AAPL': 0.0237, 'BLK': 0.00825, 'GOOG': 0.01212, 'MSFT': 0.01267, 'TSLA': 0.08652}"
2020-07-28,"{'AAPL': -0.01643, 'BLK': -0.00805, 'GOOG': -0.01951, 'MSFT': -0.00898, 'TSLA': -0.04099}"
2020-07-29,"{'AAPL': 0.01917, 'BLK': 0.01209, 'GOOG': 0.01445, 'MSFT': 0.0101, 'TSLA': 0.01532}"
2020-07-30,"{'AAPL': 0.0121, 'BLK': -0.00781, 'GOOG': 0.0062, 'MSFT': -0.00078, 'TSLA': -0.00775}"
2020-07-31,"{'AAPL': 0.10469, 'BLK': 0.00335, 'GOOG': -0.03166, 'MSFT': 0.00544, 'TSLA': -0.03814}"
2020-08-03,"{'AAPL': 0.0252, 'BLK': 0.00859, 'GOOG': -0.00574, 'MSFT': 0.05624, 'TSLA': 0.03791}"
2020-08-04,"{'AAPL': 0.00668, 'BLK': -0.01536, 'GOOG': -0.00643, 'MSFT': -0.01501, 'TSLA': 0.00135}"
2020-08-05,"{'AAPL': 0.00362, 'BLK': 0.01946, 'GOOG': 0.0059, 'MSFT': -0.00164, 'TSLA': -0.00133}"
2020-08-06,"{'AAPL': 0.03489, 'BLK': 0.00014, 'GOOG': 0.01798, 'MSFT': 0.01601, 'TSLA': 0.00307}"
2020-08-07,"{'AAPL': -0.02449, 'BLK': 0.01024, 'GOOG': -0.00374, 'MSFT': -0.01789, 'TSLA': -0.02475}"
2020-08-10,"{'AAPL': 0.01453, 'BLK': -0.01358, 'GOOG': 0.00108, 'MSFT': -0.01991, 'TSLA': -0.0235}"
2020-08-11,"{'AAPL': -0.02974, 'BLK': 0.0111, 'GOOG': -0.01055, 'MSFT': -0.02339, 'TSLA': -0.03114}"
2020-08-12,"{'AAPL': 0.03323, 'BLK': 0.00614, 'GOOG': 0.01777, 'MSFT': 0.02857, 'TSLA': 0.13124}"
2020-08-13,"{'AAPL': 0.0177, 'BLK': -0.00115, 'GOOG': 0.00785, 'MSFT': -0.00234, 'TSLA': 0.0426}"
2020-08-14,"{'AAPL': -0.00089, 'BLK': -0.00187, 'GOOG': -0.00706, 'MSFT': 0.00096, 'TSLA': 0.01833}"
2020-08-17,"{'AAPL': -0.00261, 'BLK': 0.00607, 'GOOG': 0.0068, 'MSFT': 0.00661, 'TSLA': 0.11203}"
2020-08-18,"{'AAPL': 0.00833, 'BLK': -0.00476, 'GOOG': 0.02676, 'MSFT': 0.00575, 'TSLA': 0.02803}"
2020-08-19,"{'AAPL': 0.00125, 'BLK': 0.00092, 'GOOG': -0.0071, 'MSFT': -0.00846, 'TSLA': -0.00454}"
2020-08-20,"{'AAPL': 0.02219, 'BLK': -0.01084, 'GOOG': 0.02211, 'MSFT': 0.02327, 'TSLA': 0.06564}"
2020-08-21,"{'AAPL': 0.05153, 'BLK': 0.00117, 'GOOG': -0.00084, 'MSFT': -0.00727, 'TSLA': 0.02405}"
2020-08-24,"{'AAPL': 0.01196, 'BLK': 0.01269, 'GOOG': 0.00492, 'MSFT': 0.00315, 'TSLA': -0.01745}"
2020-08-25,"{'AAPL': -0.0082, 'BLK': -0.00051, 'GOOG': 0.01261, 'MSFT': 0.01301, 'TSLA': 0.00454}"
2020-08-26,"{'AAPL': 0.0136, 'BLK': 0.00161, 'GOOG': 0.02746, 'MSFT': 0.02162, 'TSLA': 0.06417}"
2020-08-27,"{'AAPL': -0.01195, 'BLK': 0.00486, 'GOOG': -0.01092, 'MSFT': 0.02455, 'TSLA': 0.03975}"
2020-08-28,"{'AAPL': -0.00162, 'BLK': 0.01022, 'GOOG': 0.00617, 'MSFT': 0.01028, 'TSLA': -0.01132}"
2020-08-31,"{'AAPL': -0.74152, 'BLK': -0.01143, 'GOOG': -0.00622, 'MSFT': -0.01477, 'TSLA': -0.77486}"
2020-09-01,"{'AAPL': 0.03983, 'BLK': 0.00345, 'GOOG': 0.01623, 'MSFT': 0.00772, 'TSLA': -0.0467}"
2020-09-02,"{'AAPL': -0.02072, 'BLK': 0.01972, 'GOOG': 0.04069, 'MSFT': 0.01927, 'TSLA': -0.05827}"
2020-09-03,"{'AAPL': -0.08006, 'BLK': -0.0475, 'GOOG': -0.05002, 'MSFT': -0.06195, 'TSLA': -0.09024}"
2020-09-04,"{'AAPL': 0.00066, 'BLK': -0.02502, 'GOOG': -0.03094, 'MSFT': -0.01404, 'TSLA': 0.02781}"
2020-09-08,"{'AAPL': -0.06729, 'BLK': -0.02141, 'GOOG': -0.03686, 'MSFT': -0.0541, 'TSLA': -0.21063}"
2020-09-09,"{'AAPL': 0.03989, 'BLK': 0.01383, 'GOOG': 0.01603, 'MSFT': 0.04258, 'TSLA': 0.10923}"
2020-09-10,"{'AAPL': -0.03265, 'BLK': -0.03012, 'GOOG': -0.01602, 'MSFT': -0.02802, 'TSLA': 0.01381}"
2020-09-11,"{'AAPL': -0.01313, 'BLK': -0.00388, 'GOOG': -0.00738, 'MSFT': -0.00652, 'TSLA': 0.00372}"
2020-09-14,"{'AAPL': 0.02996, 'BLK': 0.01142, 'GOOG': -0.00095, 'MSFT': 0.00676, 'TSLA': 0.12583}"
2020-09-15,"{'AAPL': 0.0016, 'BLK': 0.00142, 'GOOG': 0.01459, 'MSFT': 0.01641, 'TSLA': 0.07183}"
2020-09-16,"{'AAPL': -0.02951, 'BLK': 0.02476, 'GOOG': -0.01333, 'MSFT': -0.01787, 'TSLA': -0.01779}"
2020-09-17,"{'AAPL': -0.01596, 'BLK': -0.02371, 'GOOG': -0.01668, 'MSFT': -0.01044, 'TSLA': -0.04149}"
2020-09-18,"{'AAPL': -0.03172, 'BLK': 0.01552, 'GOOG': -0.02376, 'MSFT': -0.01242, 'TSLA': 0.04421}"
2020-09-21,"{'AAPL': 0.03033, 'BLK': -0.00777, 'GOOG': -0.01975, 'MSFT': 0.01073, 'TSLA': 0.01637}"
